qid,nqc_e2e,nqc_prf,nqc_diff
1037798,0.16660199642755832,0.06563391905805382,-0.1009680773695045
104861,0.2242581825271014,0.04406909176282608,-0.1801890907642753
1063750,0.1784456481928027,0.05181666738364599,-0.12662898080915672
1103812,0.14685970513177563,0.06932687539262068,-0.07753282973915494
1106007,0.1369499452289227,0.11389018122724713,-0.023059764001675573
1110199,0.17465052863677552,0.05317363684670776,-0.12147689179006776
1112341,0.16967683880262077,0.061613516188022695,-0.10806332261459808
1113437,0.2160330963331323,0.07173076489796966,-0.14430233143516263
1114646,0.17141497415741655,0.10267569837038684,-0.06873927578702971
1114819,0.15991037011831286,0.15225009041728607,-0.007660279701026784
1115776,0.18315930628413893,0.07279436180794116,-0.11036494447619777
1117099,0.1996101240173691,0.09407327940929235,-0.10553684460807676
1121402,0.1743857747529385,0.11947257093118215,-0.054913203821756365
1121709,0.1890474130445193,0.0633669560843687,-0.12568045696015062
1124210,0.16519939312519114,0.1113021729291537,-0.05389722019603743
1129237,0.15978672436377875,0.054948617190172716,-0.10483810717360603
1133167,0.14202183271350555,0.089503421558512,-0.05251841115499355
130510,0.15620642468916335,0.10011579999603566,-0.056090624693127686
131843,0.16172832430306366,0.10317717616367492,-0.05855114813938875
146187,0.1695517714609206,0.09955002084917013,-0.07000175061175047
148538,0.16910872629726179,0.0657011737017752,-0.10340755259548659
156493,0.17247661963844654,0.09139625234925015,-0.08108036728919639
168216,0.24680119879468684,0.12356540877676585,-0.123235790017921
182539,0.18123448393537864,0.09289705321998014,-0.0883374307153985
183378,0.16664185480967977,0.1121009148496587,-0.05454093996002107
19335,0.14231635967677567,0.05437346717542214,-0.08794289250135354
207786,0.17915774698898346,0.08128620889487752,-0.09787153809410594
264014,0.1502425595332725,0.09999932908837049,-0.05024323044490202
359349,0.21219705483026047,0.1301918529384349,-0.08200520189182556
405717,0.16867185491831485,0.1470809733680813,-0.02159088155023356
443396,0.2205944995681871,0.07949250260907213,-0.14110199695911496
451602,0.20085441872819998,0.08142902488226748,-0.1194253938459325
47923,0.22719543830181244,0.08185283220661323,-0.14534260609519922
489204,0.17462593794242842,0.052835838667651326,-0.1217900992747771
490595,0.1601303959241698,0.11972064689072978,-0.04040974903344002
527433,0.19078089381299707,0.09939078965254879,-0.09139010416044828
573724,0.16477416214702945,0.11239359974413635,-0.0523805624028931
833860,0.10792903019003118,0.07005068902018535,-0.03787834116984583
855410,0.20526153412146203,0.05225993807058041,-0.15300159605088162
87181,0.16789152533793278,0.10768093653517302,-0.06021058880275976
87452,0.16483194175880608,0.05894653641098471,-0.10588540534782137
915593,0.18179218635490416,0.15257416835847462,-0.029218017996429535
962179,0.15370532861258404,0.08917925069246238,-0.06452607792012166
