qid,nqc,b_preference_ratio,preference
833860,0.1079290301900311,0.5555555555555556,Neutral
1106007,0.1369499452289227,0.5714285714285714,Neutral
1133167,0.1420218327135055,0.4757281553398058,Neutral
19335,0.1423163596767756,0.6181818181818182,PRF-Benefit
1103812,0.1468597051317756,0.3333333333333333,PRF-Hurt
264014,0.1502425595332725,0.4716981132075472,Neutral
962179,0.153705328612584,0.328125,PRF-Hurt
130510,0.1562064246891633,0.7142857142857143,PRF-Benefit
1129237,0.1597867243637787,0.525,Neutral
1114819,0.1599103701183128,0.5,Neutral
490595,0.1601303959241698,0.5287356321839081,Neutral
131843,0.1617283243030636,0.9615384615384616,PRF-Benefit
573724,0.1647741621470294,0.5073529411764706,Neutral
87452,0.164831941758806,0.3333333333333333,PRF-Hurt
1124210,0.1651993931251911,0.5131578947368421,Neutral
1037798,0.1666019964275583,0.9302325581395348,PRF-Benefit
183378,0.1666418548096797,0.4946236559139785,Neutral
87181,0.1678915253379327,0.4367816091954023,Neutral
405717,0.1686718549183148,0.9047619047619048,PRF-Benefit
148538,0.1691087262972617,0.7333333333333333,PRF-Benefit
146187,0.1695517714609206,0.2285714285714285,PRF-Hurt
1112341,0.1696768388026207,0.1071428571428571,PRF-Hurt
1114646,0.1714149741574165,0.5686274509803921,Neutral
156493,0.1724766196384465,0.5277777777777778,Neutral
489204,0.1746259379424284,0.3972602739726027,PRF-Hurt
1110199,0.1746505286367755,0.6296296296296297,PRF-Benefit
1063750,0.1784456481928027,0.2307692307692307,PRF-Hurt
207786,0.1791577469889834,0.5,Neutral
182539,0.1812344839353786,0.5,Neutral
915593,0.1817921863549041,0.4137931034482758,Neutral
1115776,0.1831593062841389,0.3529411764705882,PRF-Hurt
527433,0.190780893812997,0.4545454545454545,Neutral
1117099,0.1996101240173691,0.4912280701754385,Neutral
451602,0.2008544187281999,0.392156862745098,PRF-Hurt
855410,0.205261534121462,0.0,PRF-Hurt
359349,0.2121970548302604,0.3818181818181818,PRF-Hurt
1113437,0.2160330963331323,0.5643564356435643,Neutral
443396,0.2205944995681871,0.8064516129032258,PRF-Benefit
104861,0.2242581825271014,0.7125,PRF-Benefit
47923,0.2271954383018124,0.4375,Neutral
168216,0.2468011987946868,0.4605263157894737,Neutral
