query_id,score,prediction
19335,0.0,Hurt
47923,0.0,Hurt
87181,0.0,Hurt
87452,0.0,Hurt
104861,0.0,Hurt
130510,0.0,Hurt
131843,0.0,Hurt
146187,0.0,Hurt
148538,0.2,Hurt
156493,0.0,Hurt
168216,0.0,Hurt
182539,0.0,Hurt
183378,0.0,Hurt
207786,0.0,Hurt
264014,0.0,Hurt
359349,0.0,Hurt
405717,0.16666666666666666,Hurt
443396,0.3333333333333333,Hurt
451602,0.16666666666666666,Hurt
489204,0.5,Hurt
490595,0.3333333333333333,Hurt
527433,0.0,Hurt
573724,0.0,Hurt
833860,0.125,Hurt
855410,0.0,Hurt
915593,0.0,Hurt
962179,0.0,Hurt
1037798,0.5,Hurt
1063750,0.14285714285714285,Hurt
1103812,0.0,Hurt
1106007,0.0,Hurt
1110199,0.0,Hurt
1112341,0.125,Hurt
1113437,0.0,Hurt
1114646,0.0,Hurt
1114819,0.0,Hurt
1115776,0.0,Hurt
1117099,0.0,Hurt
1121402,0.0,Hurt
1121709,0.16666666666666666,Hurt
1124210,0.0,Hurt
1129237,0.0,Hurt
1133167,0.16666666666666666,Hurt
