query_id,score,prediction
19335,0.2704225728909175,Hurt
47923,0.17913740885754426,Hurt
87181,0.20101578161120415,Hurt
87452,0.27224375307559967,Hurt
104861,0.27638726085424425,Hurt
130510,0.22444703678290048,Hurt
131843,0.25873879591623944,Hurt
146187,0.3157980905047485,Hurt
148538,0.32840934842824937,Hurt
156493,0.2424990932146708,Hurt
168216,0.2526535362005234,Hurt
182539,0.2419155091047287,Hurt
183378,0.1795929620663325,Hurt
207786,0.2983589718739192,Hurt
264014,0.29796657250041053,Hurt
359349,0.31845977689538685,Hurt
405717,0.2537391612927119,Hurt
443396,0.17924515157938004,Hurt
451602,0.1777061030268669,Hurt
489204,0.2534652277827263,Hurt
490595,0.16903076072533926,Hurt
527433,0.22568012525637945,Hurt
573724,0.29468520092112677,Hurt
833860,0.3229825028351375,Hurt
855410,0.3126650840044022,Hurt
915593,0.2762890160083771,Hurt
962179,0.28877085049947104,Hurt
1037798,0.31177548815806705,Hurt
1063750,0.2553255728312901,Hurt
1103812,0.32661765742869603,Hurt
1106007,0.17377197742462158,Hurt
1110199,0.26134992986917494,Hurt
1112341,0.3288388598178114,Hurt
1113437,0.3086977317929268,Hurt
1114646,0.28982539027929305,Hurt
1114819,0.3253287169195357,Hurt
1115776,0.3232399662335714,Hurt
1117099,0.3240871548652649,Hurt
1121402,0.20330059677362441,Hurt
1121709,0.3230124428868294,Hurt
1124210,0.28966638147830964,Hurt
1129237,0.26851526328495573,Hurt
1133167,0.27277659277121225,Hurt
