query_id,b_ratio,label
104861,0.7125,Benefit
130510,0.7142857142857143,Benefit
131843,0.9615384615384616,Benefit
146187,0.2285714285714285,Hurt
148538,0.7333333333333333,Benefit
156493,0.5277777777777778,Neutral
1037798,0.9302325581395348,Benefit
1063750,0.2307692307692307,Hurt
1103812,0.3333333333333333,Hurt
1106007,0.5714285714285714,Benefit
1110199,0.6296296296296297,Benefit
1112341,0.1071428571428571,Hurt
1113437,0.5643564356435643,Benefit
1114646,0.5686274509803921,Benefit
1114819,0.5,Neutral
1115776,0.3529411764705882,Hurt
1117099,0.4912280701754385,Neutral
1121402,,Insufficient-Data
1121709,,Insufficient-Data
1124210,0.5131578947368421,Neutral
1129237,0.525,Neutral
1133167,0.4757281553398058,Neutral
19335,0.6181818181818182,Benefit
47923,0.4375,Hurt
87181,0.4367816091954023,Hurt
87452,0.3333333333333333,Hurt
168216,0.4605263157894737,Neutral
182539,0.5,Neutral
183378,0.4946236559139785,Neutral
207786,0.5,Neutral
264014,0.4716981132075472,Neutral
359349,0.3818181818181818,Hurt
405717,0.9047619047619048,Benefit
443396,0.8064516129032258,Benefit
451602,0.392156862745098,Hurt
489204,0.3972602739726027,Hurt
490595,0.5287356321839081,Neutral
527433,0.4545454545454545,Neutral
573724,0.5073529411764706,Neutral
833860,0.5555555555555556,Neutral
855410,0.0,Hurt
915593,0.4137931034482758,Hurt
962179,0.328125,Hurt
