query_id,score,prediction
19335,0.5947992532727879,Benefit
47923,0.4227950118402034,Hurt
87181,0.45235910214043196,Neutral
87452,0.5102469919765996,Neutral
104861,0.43259991141558113,Hurt
130510,0.538786841104326,Neutral
131843,0.5338618488296235,Neutral
146187,0.4375437906829098,Hurt
148538,0.46784182347209,Neutral
156493,0.6131471927654584,Benefit
168216,0.39846578102936614,Hurt
182539,0.34336666065220406,Hurt
183378,0.35018164880379854,Hurt
207786,0.44566787846093564,Neutral
264014,0.3579542107674313,Hurt
359349,0.5333333039705882,Neutral
405717,0.538786841104326,Neutral
443396,0.4690765613629614,Neutral
451602,0.4588769035402797,Neutral
489204,0.6372117772371046,Benefit
490595,0.41335721414326515,Hurt
527433,0.5142832020860664,Neutral
573724,0.5383457426546451,Neutral
833860,0.45819636114204,Neutral
855410,0.5543449343710103,Neutral
915593,0.43109361023850706,Hurt
962179,0.4664658858557446,Neutral
1037798,0.6150818359834024,Benefit
1063750,0.3390916587854256,Hurt
1103812,0.41140808993222105,Hurt
1106007,0.5174278085650575,Neutral
1110199,0.6418415107046727,Benefit
1112341,0.3292733568103487,Hurt
1113437,0.5407153339336951,Neutral
1114646,0.5279646510306089,Neutral
1114819,0.6124845994890841,Benefit
1115776,0.4224906588719225,Hurt
1117099,0.3892989895466853,Hurt
1121402,,Insufficient-Data
1121709,0.41140808993222105,Hurt
1124210,0.3687769620334833,Hurt
1129237,0.7028444931341757,Benefit
1133167,0.4864491174704771,Neutral
