query_id,dcg_score,mrr_score,majority_at_k_score,ranked_doc_ids
19335,0.5354746534138496,0.5776965265082268,0.3333333333333333,"[""6512144"", ""1720395"", ""6512137"", ""1720389"", ""2304005"", ""772234"", ""2304004"", ""691496"", ""8828697""]"
47923,0.2398124665681314,0.1111111111111111,0.0,"[""8641107"", ""6241152"", ""8418681"", ""6241150"", ""5417582"", ""618556"", ""4297620"", ""5417578"", ""2061700""]"
87181,0.4619929358416169,0.4147843942505133,0.6666666666666666,"[""6521366"", ""8534134"", ""6484576"", ""8534130"", ""6484575"", ""8683183"", ""8565420"", ""2530252"", ""8683181""]"
87452,0.5894262290495497,0.6878980891719745,1.0,"[""8333919"", ""1395631"", ""8819116"", ""8819112"", ""186939"", ""186931"", ""8819113"", ""8081937"", ""110898""]"
104861,0.4382723679302105,0.3824270795822829,0.5,"[""5138474"", ""1811410"", ""5703400"", ""442613"", ""6351571"", ""2497738"", ""6658615"", ""5836444"", ""6124839""]"
130510,0.5537201985244874,0.6226415094339622,1.0,"[""8612903"", ""8612909"", ""7501558"", ""8612910"", ""799647"", ""8612904"", ""8612902"", ""1494936"", ""8612905""]"
131843,0.7087189388103001,0.8495575221238938,1.0,"[""8305155"", ""8305153"", ""8305154"", ""8305158"", ""8305152"", ""8305156"", ""6054149"", ""8456964"", ""5325677""]"
146187,0.3327463456497221,0.1942446043165467,0.0,"[""8434625"", ""8434624"", ""8434619"", ""8434623"", ""4777144"", ""8434626"", ""8434618"", ""744165"", ""8434622""]"
148538,0.3186841781613856,0.1787709497206703,0.0,"[""985491"", ""7407812"", ""8283532"", ""231455"", ""7407803"", ""985488"", ""4959638"", ""1392971"", ""3918785""]"
156493,0.4491768952476266,0.3846153846153846,0.0,"[""3288601"", ""2928707"", ""8182162"", ""8182160"", ""2612493"", ""1960257"", ""3288600"", ""6139386"", ""6983822""]"
168216,0.5506687557620425,0.5970149253731344,0.3333333333333333,"[""1924800"", ""8185135"", ""1381477"", ""1301467"", ""3830857"", ""13499"", ""1924796"", ""8723467"", ""2069992""]"
182539,0.4362911649713195,0.3707865168539325,0.5,"[""57443"", ""2909960"", ""8757181"", ""1307235"", ""7371262"", ""57444"", ""6037973"", ""1638689"", ""1638690""]"
183378,0.4617936125245732,0.4153052450558899,0.6666666666666666,"[""1289489"", ""7449744"", ""7449748"", ""8570258"", ""4803847"", ""4493915"", ""3185611"", ""5534710"", ""6109454""]"
207786,0.4881237313418626,0.4661870503597122,0.5,"[""8273762"", ""7941579"", ""8273758"", ""8273754"", ""8273763"", ""8273756"", ""2763917"", ""8273755"", ""8273759""]"
264014,0.3769665430287959,0.2831541218637992,0.5,"[""1804644"", ""6105569"", ""3396076"", ""3338827"", ""96855"", ""4834547"", ""5328095"", ""2223171"", ""6198286""]"
359349,0.3944575584284449,0.3283582089552239,0.3333333333333333,"[""943229"", ""68647"", ""2826510"", ""68649"", ""68648"", ""5615181"", ""576628"", ""3900185"", ""4013723""]"
405717,0.5279646510306089,0.5672727272727273,,"[""3033900"", ""8433854"", ""4828118"", ""2702419"", ""7728831"", ""4704975"", ""8156519"", ""2879960"", ""3033904""]"
443396,0.6016290651669962,0.7039740470397404,1.0,"[""8536118"", ""8536121"", ""3721948"", ""8536123"", ""3440850"", ""8536122"", ""4052112"", ""119472"", ""4633352""]"
451602,0.550697140826591,0.6087704213241616,0.6666666666666666,"[""5179251"", ""6286982"", ""8383461"", ""3177691"", ""6286977"", ""8390518"", ""6286975"", ""5475308"", ""2382274""]"
489204,0.4104333298339132,0.3420957868203096,0.25,"[""855963"", ""8054792"", ""1051498"", ""2268652"", ""7116533"", ""1778458"", ""8737051"", ""5541650"", ""1355264""]"
490595,0.4764173673556852,0.4436619718309859,0.6666666666666666,"[""4842889"", ""805046"", ""4842890"", ""549465"", ""805051"", ""4737063"", ""805048"", ""5247999"", ""4842897""]"
527433,0.54048450566355,0.5962145110410095,1.0,"[""8617271"", ""5466807"", ""5466810"", ""1379240"", ""1379245"", ""7607669"", ""3294599"", ""1664523"", ""4046876""]"
573724,0.4232372549279717,0.3393360815795183,0.25,"[""6776717"", ""7199673"", ""162151"", ""5721829"", ""8441642"", ""8833194"", ""1165129"", ""7674859"", ""2635262""]"
833860,0.4362911649713195,0.3707865168539325,0.5,"[""6230226"", ""1889863"", ""5167513"", ""5167510"", ""6230227"", ""8833502"", ""6230222"", ""8344031"", ""5127788""]"
855410,0.5829893505017173,0.6774193548387097,1.0,"[""8651771"", ""8651775"", ""2890365"", ""8651770"", ""1186979"", ""6934651"", ""1819434"", ""6933293"", ""2117094""]"
915593,0.5045899659670638,0.5121951219512195,1.0,"[""82107"", ""3538160"", ""8402971"", ""82113"", ""6923052"", ""8402972"", ""82110"", ""4566822"", ""98515""]"
962179,0.4681744692567893,0.4305799648506151,0.5,"[""8785371"", ""5653659"", ""4606386"", ""5919340"", ""2329699"", ""2978869"", ""4511499"", ""2978871"", ""2329701""]"
1037798,0.5753462105956547,0.6643233743409489,1.0,"[""7822415"", ""8760871"", ""8760867"", ""4095286"", ""8760866"", ""3641634"", ""3914692"", ""7604812"", ""2360252""]"
1063750,0.4362271806662164,0.3706830391404451,0.5,"[""4337532"", ""1923500"", ""7778351"", ""819285"", ""7778349"", ""4895432"", ""8438480"", ""983109"", ""1300452""]"
1103812,0.3868528072345416,0.2727272727272727,0.0,"[""8220089"", ""8220085"", ""2332189"", ""8220087"", ""3843267"", ""8220086"", ""3940091"", ""6289840"", ""1659852""]"
1106007,0.6879989985725973,0.823529411764706,1.0,"[""7685388"", ""1334335"", ""1334336"", ""2960566"", ""2960558"", ""2960563"", ""1334330"", ""4004173"", ""5144927""]"
1110199,0.6088242974041265,0.7129798903107861,0.75,"[""1901879"", ""1901878"", ""3838638"", ""1901882"", ""1901876"", ""8160520"", ""8160519"", ""1901881"", ""4511137""]"
1112341,0.3362426014773217,0.2202531645569619,0.25,"[""8139255"", ""8139257"", ""8139258"", ""4022849"", ""4022846"", ""8606160"", ""6903063"", ""6164791"", ""8606161""]"
1113437,0.527454161161288,0.5578231292517006,0.4,"[""631949"", ""2354947"", ""3880944"", ""8128796"", ""1768727"", ""2001933"", ""5188745"", ""2001934"", ""4016930""]"
1114646,0.5607066655395243,0.6382978723404256,1.0,"[""8117090"", ""5279567"", ""8117089"", ""8117096"", ""8117091"", ""444380"", ""2647994"", ""6704400"", ""8329774""]"
1114819,0.3868528072345416,0.3191489361702128,0.3333333333333333,"[""5521371"", ""6941478"", ""6900766"", ""1315998"", ""4890560"", ""988373"", ""8022280"", ""3781418"", ""5891747""]"
1115776,0.4191797307312337,0.3333333333333333,0.0,"[""8106321"", ""4314176"", ""4314175"", ""8106324"", ""4314174"", ""1729576"", ""8106320"", ""4314172"", ""5900625""]"
1117099,0.5781781734938454,0.660377358490566,0.5,"[""8446501"", ""4441325"", ""6122722"", ""4458509"", ""8093934"", ""5286539"", ""3349612"", ""8446505"", ""3543106""]"
1121402,,,,"[""5189913"", ""188213"", ""8052624"", ""8052617"", ""7125987"", ""182369"", ""8052623"", ""8052620"", ""5645287""]"
1121709,0.6666666666666666,0.8,1.0,"[""8049583"", ""8049577"", ""3423067"", ""3423062"", ""8049579"", ""3423059"", ""8049585"", ""3423063"", ""8049586""]"
1124210,0.530151624568253,0.5689593086064098,0.25,"[""2461683"", ""8026737"", ""2494577"", ""2728448"", ""8026735"", ""6221372"", ""7695217"", ""2089544"", ""8492305""]"
1129237,0.6618326436971338,0.7590361445783133,0.6666666666666666,"[""3905057"", ""3905802"", ""4254811"", ""128984"", ""6080460"", ""8588222"", ""4254816"", ""8588219"", ""8588226""]"
1133167,0.5339114016288725,0.5725593667546175,0.6666666666666666,"[""4922619"", ""4550240"", ""3023120"", ""1824480"", ""1824486"", ""7217705"", ""434121"", ""434125"", ""6112587""]"
