query_id,score,prediction
19335,74.11332395767026,Benefit
47923,8460840210054806.0,Benefit
87181,0.0,Hurt
87452,32.99390185955771,Benefit
104861,0.0,Hurt
130510,184.4190640055832,Benefit
131843,0.0,Hurt
146187,29.703721098728405,Benefit
148538,7.639614740252513,Benefit
156493,0.0,Hurt
168216,0.0,Hurt
182539,0.0,Hurt
183378,98.70748522981347,Benefit
207786,0.0,Hurt
264014,368.5861088495094,Benefit
359349,128.55809212737324,Benefit
405717,40.85439977178841,Benefit
443396,103.92666250776846,Benefit
451602,7.1656475637265125,Benefit
489204,140.8797352349907,Benefit
490595,8.21697271059763,Benefit
527433,19.121840709794736,Benefit
573724,14.529562032199578,Benefit
833860,84.70784296243899,Benefit
855410,0.0,Hurt
915593,129.49680932796267,Benefit
962179,0.0,Hurt
1037798,0.0,Hurt
1063750,7429145121796003.0,Benefit
1103812,27.875396000050113,Benefit
1106007,80.71281197976353,Benefit
1110199,125.72017180263926,Benefit
1112341,70.93361319593801,Benefit
1113437,9.4356847033974,Benefit
1114646,187.511683849287,Benefit
1114819,32.483937276573855,Benefit
1115776,42.16362788599784,Benefit
1117099,6.48119637385908,Benefit
1121402,,Hurt
1121709,0.0,Hurt
1124210,110.13093653154858,Benefit
1129237,7.300117976697698,Benefit
1133167,0.0,Hurt
