query_id,score,prediction
19335,0.5550656888193588,Neutral
47923,0.23981246656813146,Hurt
87181,0.5803021159673512,Benefit
87452,0.4214962433595079,Hurt
104861,0.4663878815546779,Neutral
130510,0.5607066655395243,Neutral
131843,0.546546529670947,Neutral
146187,0.45951549433645,Neutral
148538,0.46897773805989845,Neutral
156493,0.6131471927654584,Benefit
168216,0.2971555068658242,Hurt
182539,0.5422428230610767,Neutral
183378,0.42590554492580185,Hurt
207786,0.6274083418548712,Benefit
264014,0.6643951044503822,Benefit
359349,0.4144299250118475,Hurt
405717,0.5536572489594165,Neutral
443396,0.5352169596746007,Neutral
451602,0.5600202240114208,Neutral
489204,0.4808971011074565,Neutral
490595,0.3205679649403013,Hurt
527433,0.4786107294605356,Neutral
573724,0.527133207943978,Neutral
833860,0.6501906005490485,Benefit
855410,0.5424628101446487,Neutral
915593,0.4661381511703765,Neutral
962179,0.43248026190183136,Hurt
1037798,0.5810858340592405,Benefit
1063750,0.4169614709268121,Hurt
1103812,0.3230075074711544,Hurt
1106007,0.5210362978983366,Neutral
1110199,0.6364625243246799,Benefit
1112341,0.32012088943958955,Hurt
1113437,0.48032475686211756,Neutral
1114646,0.5946734052020803,Benefit
1114819,0.3522356620623506,Hurt
1115776,0.425584245859647,Hurt
1117099,0.3468447576712153,Hurt
1121402,,Insufficient-Data
1121709,0.4,Hurt
1124210,0.4014663890215239,Hurt
1129237,0.5781781734938454,Benefit
1133167,0.6656231926042461,Benefit
