qid,colbert_score_mean,colbert_score_std,colbert_score_max,colbert_score_min,colbert_score_gap_1_2,colbert_score_gap_1_k,colbert_score_entropy,colbert_top3_vs_rest,colbert_score_slope,reranker_score_mean,reranker_score_std,reranker_score_max,reranker_score_min,reranker_score_gap_1_2,reranker_score_gap_1_k,reranker_score_entropy,reranker_top3_vs_rest,reranker_score_slope,msmarco_ce_score_mean,msmarco_ce_score_std,msmarco_ce_score_max,msmarco_ce_score_min,msmarco_ce_score_gap_1_2,msmarco_ce_score_gap_1_k,msmarco_ce_score_entropy,msmarco_ce_top3_vs_rest,msmarco_ce_score_slope
19335,26.11988983154297,0.27944354335676214,26.53351593017578,25.646839141845703,0.1377544403076172,0.8866767883300781,0.8918489739996994,0.4108316330682662,-0.09452410611239334,0.531787109375,0.17224597083529747,0.83544921875,0.262939453125,0.36083984375,0.289306640625,0.8908304159296953,0.16245814732142855,-0.03129142992424239,5.444331073760987,0.4619965380257823,6.212709426879883,4.794191837310791,0.31649112701416016,1.3800005912780762,0.8578192704328871,0.5341167904081798,-0.14508695891409198
47923,23.862836265563963,0.7318876372270469,25.36894416809082,22.93882369995117,0.8037395477294922,2.430120468139652,0.8442963091011573,1.1843753088088285,-0.2435703277587888,0.964990234375,0.021634826985163957,0.990234375,0.931640625,0.00439453125,0.0322265625,0.8801056533879367,0.023972284226190466,-0.0054717092803029934,7.036174249649048,0.6352587134213423,8.11096477508545,6.014404296875,-0.3550095558166504,1.1608595848083496,0.9002341075528263,0.7926952952430355,-0.1560435873089413
87181,25.678162574768066,0.7361608747535883,26.93782997131348,24.91153717041016,0.33511161804199574,2.0262928009033203,0.7822062953012155,1.3505667731875448,-0.24060996084502215,0.909619140625,0.08308660380495787,0.98779296875,0.763671875,0.00439453125,0.19091796875,0.9023072445217708,0.10586402529761907,-0.023724550189393942,9.043041324615478,1.0717529127536458,10.536266326904297,6.885231018066406,-0.24527359008789062,2.50323486328125,0.9260852532156855,1.156832240876696,-0.27367990089185307
87452,23.738867378234865,0.8082178142708096,25.33694267272949,22.916690826416016,0.892328262329098,2.420251846313473,0.7581345422010348,1.361573628016881,-0.2628550789572972,0.4790679931640625,0.32901670297152247,0.91259765625,0.018829345703125,0.087890625,0.8914794921875,0.8533541114252305,0.5116737002418155,-0.0983348499644886,4.142191696166992,2.4896369917529007,6.892415523529053,-2.534414291381836,1.3839430809020996,4.344473361968994,0.9486277379836497,2.5725272042410716,-0.6233617089011452
104861,23.302397346496583,0.6955818466728879,25.097579956054688,22.75649642944336,1.0264148712158203,2.341083526611328,0.7215605535367627,1.1967187608991345,-0.19657052935975863,0.3218879699707031,0.33515590366852616,0.95458984375,0.01097869873046875,-0.380859375,0.502685546875,0.749915632465968,0.2762512933640253,-0.07015857118548768,4.0757761657238,3.0972916452756083,8.229239463806152,-2.4614853858947754,-2.659062385559082,0.09203910827636719,0.9278743428617706,0.6203322098368687,-0.24719154148390807
130510,25.234967613220213,1.523934194447465,27.604463577270508,22.718774795532227,0.9548950195312571,4.885688781738281,0.8957472573573155,2.4688374655587317,-0.5180454947731696,0.8157470703125,0.2325651877805897,0.98291015625,0.225341796875,0.01025390625,0.3828125,0.9447889874496243,0.23299153645833337,-0.033148378314393934,9.142094707489013,1.3533981983305636,10.859064102172852,6.194470405578613,-0.1354818344116211,3.9170665740966797,0.9335577057699521,1.8053979873657227,-0.3254649595780804
131843,24.338703918457032,1.754732015444303,28.22250747680664,22.63195037841797,2.2521018981933594,5.590557098388672,0.7641881942890749,3.18469438098726,-0.5667486479788105,0.3915326356887817,0.4747062712712949,0.9931640625,0.00038313865661621094,0.02587890625,0.9926133155822754,0.6160933407382072,0.8411047912779309,-0.14158741199609,6.4276797533035275,2.521959919431722,10.400751113891602,3.3159656524658203,1.290435791015625,7.084785461425781,0.8250989722096199,4.389978965123495,-0.7958999272548791
146187,23.318646049499513,1.2274735603292406,25.55508804321289,21.984676361083984,0.36285400390625,3.5704116821289062,0.805261852734079,2.4177288782028903,-0.4083022262110857,0.8623046875,0.1747772706764034,0.99609375,0.48828125,0.00244140625,0.4033203125,0.9274019451049299,0.18601190476190477,-0.04849668560606059,6.706113886833191,2.165802512060852,9.946640014648438,3.926943778991699,1.3483209609985352,6.019696235656738,0.8335817839564196,2.6608286698659267,-0.5606630599859987
148538,24.82523593902588,1.1931413691771573,27.09135055541992,23.76206398010254,0.08446884155273082,3.3292865753173793,0.7431317655900943,2.2817403702508834,-0.36982483141350014,0.903173828125,0.13303689288662374,0.9853515625,0.515625,-0.00244140625,0.04736328125,0.9528791090744435,0.09321521577380953,-0.01401219223484852,9.416573333740235,1.0640740579772308,10.834856986999512,6.917084693908691,-0.4328451156616211,0.4547281265258789,0.9401655235340448,0.7742266882033562,-0.11110215620561026
156493,26.596667098999024,0.3147369949689975,27.068830490112305,26.023080825805664,0.14144134521484375,1.0457496643066406,0.9155924573542543,0.5387767610095793,-0.10834218805486426,0.952978515625,0.014262577462550174,0.974609375,0.92626953125,0.0009765625,0.02001953125,0.9189757446589585,0.013695126488095233,-0.003346946022727276,9.27372703552246,0.3629590003724308,9.705138206481934,8.588347434997559,0.6671953201293945,0.3511314392089844,0.9186714380600531,0.2534935360863084,-0.06412587021336409
168216,26.046311569213866,0.5067392393278559,27.11450386047364,25.618276596069336,0.15946006774903054,1.496227264404304,0.7404985057884814,0.8987900870186927,-0.14676860462535432,0.978564453125,0.01566226330553176,0.9921875,0.94580078125,-0.00146484375,0.01025390625,0.9217009498429126,0.018531436011904767,-0.002281605113636347,9.21659288406372,0.7681975463678701,10.456758499145508,8.235037803649902,-0.04792976379394531,1.831033706665039,0.8419279458993204,1.2905237561180467,-0.17497060949152174
182539,24.687693977355956,0.8880374620474287,26.23967170715332,23.740049362182617,0.45985412597655895,2.499622344970703,0.7790354285167667,1.6711470286051444,-0.29944951606519354,0.7666748046875,0.14355659950695768,0.951171875,0.445556640625,0.501708984375,0.1728515625,0.9363083855871962,-0.0897391183035714,0.0029163707386363823,6.7776566505432125,1.117446899659939,9.59443473815918,5.671634674072266,3.922800064086914,3.6048502922058105,0.8030544603462733,0.43645731608072946,-0.16971726851029828
183378,25.713594245910645,0.872274815190473,27.099515914916992,24.26179885864257,0.1689968109130895,2.837717056274421,0.9054441263471071,1.6423546019054598,-0.2964249466404755,0.7867431640625,0.22252716204050754,0.9716796875,0.341552734375,0.0283203125,0.1279296875,0.9127128896094009,0.1693289620535714,-0.03781220407196971,7.246542882919312,1.2874838518277596,9.100582122802734,5.379299640655518,-0.4295225143432617,3.054340362548828,0.8593936044018985,2.1189040910630004,-0.37768233617146774
207786,24.639503479003906,0.760794388778205,26.19902610778809,23.87866973876953,0.5458660125732457,2.3203563690185582,0.7761000299383062,1.4949008396693628,-0.2493149034904713,0.92109375,0.07720194445913577,0.98779296875,0.73095703125,0.001953125,0.1357421875,0.9427957132732242,0.08040364583333337,-0.010925662878787885,6.419559907913208,1.1735005989174463,8.23472785949707,4.300436496734619,-0.3204622268676758,2.9744467735290527,0.9124200771119227,1.8763863018580844,-0.34732973792336214
